INTERNAL | System Time: 1741192972.9238 | Logical Clock: 210 | 
SEND to VM 2 | System Time: 1741192973.1268 | Logical Clock: 211 | Message Clock Sent: 210
INTERNAL | System Time: 1741192973.3310 | Logical Clock: 212 | 
INTERNAL | System Time: 1741192973.5365 | Logical Clock: 213 | 
INTERNAL | System Time: 1741192973.7381 | Logical Clock: 214 | 
INTERNAL | System Time: 1741192973.9426 | Logical Clock: 215 | 
RECEIVE | System Time: 1741192974.1463 | Logical Clock: 216 | From VM 0, Queue Length: 0
SEND to VM 2 | System Time: 1741192974.3494 | Logical Clock: 217 | Message Clock Sent: 216
INTERNAL | System Time: 1741192974.5560 | Logical Clock: 218 | 
INTERNAL | System Time: 1741192974.7615 | Logical Clock: 219 | 
INTERNAL | System Time: 1741192974.9670 | Logical Clock: 220 | 
SEND to VMs 0, 2 | System Time: 1741192975.1688 | Logical Clock: 221 | Message Clock Sent: 220
INTERNAL | System Time: 1741192975.3748 | Logical Clock: 222 | 
INTERNAL | System Time: 1741192975.5804 | Logical Clock: 223 | 
INTERNAL | System Time: 1741192975.7838 | Logical Clock: 224 | 
INTERNAL | System Time: 1741192975.9853 | Logical Clock: 225 | 
RECEIVE | System Time: 1741192976.1873 | Logical Clock: 229 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192976.3917 | Logical Clock: 230 | Message Clock Sent: 229
INTERNAL | System Time: 1741192976.5986 | Logical Clock: 231 | 
INTERNAL | System Time: 1741192976.8015 | Logical Clock: 232 | 
SEND to VMs 0, 2 | System Time: 1741192977.0043 | Logical Clock: 233 | Message Clock Sent: 232
SEND to VM 2 | System Time: 1741192977.2109 | Logical Clock: 234 | Message Clock Sent: 233
INTERNAL | System Time: 1741192977.4175 | Logical Clock: 235 | 
RECEIVE | System Time: 1741192977.6227 | Logical Clock: 238 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192977.8241 | Logical Clock: 239 | 
INTERNAL | System Time: 1741192978.0307 | Logical Clock: 240 | 
RECEIVE | System Time: 1741192978.2365 | Logical Clock: 241 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192978.4419 | Logical Clock: 242 | 
RECEIVE | System Time: 1741192978.6462 | Logical Clock: 243 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192978.8493 | Logical Clock: 244 | 
INTERNAL | System Time: 1741192979.0522 | Logical Clock: 245 | 
INTERNAL | System Time: 1741192979.2557 | Logical Clock: 246 | 
RECEIVE | System Time: 1741192979.4621 | Logical Clock: 248 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192979.6666 | Logical Clock: 250 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192979.8726 | Logical Clock: 251 | 
INTERNAL | System Time: 1741192980.0771 | Logical Clock: 252 | 
