RECEIVE | System Time: 1741169170.7995 | Logical Clock: 118 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741169171.0131 | Logical Clock: 119 | 
SEND to VM 0 | System Time: 1741169171.2137 | Logical Clock: 120 | Message Clock Sent: 119
INTERNAL | System Time: 1741169171.4179 | Logical Clock: 121 | 
SEND to VM 0 | System Time: 1741169171.6196 | Logical Clock: 122 | Message Clock Sent: 121
INTERNAL | System Time: 1741169171.8235 | Logical Clock: 123 | 
SEND to VMs 0, 1 | System Time: 1741169172.0334 | Logical Clock: 124 | Message Clock Sent: 123
INTERNAL | System Time: 1741169172.2425 | Logical Clock: 125 | 
INTERNAL | System Time: 1741169172.4444 | Logical Clock: 126 | 
INTERNAL | System Time: 1741169172.6551 | Logical Clock: 127 | 
INTERNAL | System Time: 1741169172.8561 | Logical Clock: 128 | 
INTERNAL | System Time: 1741169173.0578 | Logical Clock: 129 | 
INTERNAL | System Time: 1741169173.2590 | Logical Clock: 130 | 
INTERNAL | System Time: 1741169173.4617 | Logical Clock: 131 | 
INTERNAL | System Time: 1741169173.6653 | Logical Clock: 132 | 
INTERNAL | System Time: 1741169173.8726 | Logical Clock: 133 | 
RECEIVE | System Time: 1741169174.0737 | Logical Clock: 134 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169174.2751 | Logical Clock: 135 | 
SEND to VM 1 | System Time: 1741169174.5263 | Logical Clock: 136 | Message Clock Sent: 135
INTERNAL | System Time: 1741169174.7354 | Logical Clock: 137 | 
SEND to VMs 0, 1 | System Time: 1741169174.9378 | Logical Clock: 138 | Message Clock Sent: 137
INTERNAL | System Time: 1741169175.1427 | Logical Clock: 139 | 
INTERNAL | System Time: 1741169175.3442 | Logical Clock: 140 | 
SEND to VM 0 | System Time: 1741169175.5453 | Logical Clock: 141 | Message Clock Sent: 140
INTERNAL | System Time: 1741169175.7469 | Logical Clock: 142 | 
INTERNAL | System Time: 1741169175.9486 | Logical Clock: 143 | 
INTERNAL | System Time: 1741169176.1509 | Logical Clock: 144 | 
INTERNAL | System Time: 1741169176.3667 | Logical Clock: 145 | 
SEND to VM 0 | System Time: 1741169176.5698 | Logical Clock: 146 | Message Clock Sent: 145
INTERNAL | System Time: 1741169176.7724 | Logical Clock: 147 | 
SEND to VM 0 | System Time: 1741169176.9776 | Logical Clock: 148 | Message Clock Sent: 147
INTERNAL | System Time: 1741169177.1889 | Logical Clock: 149 | 
SEND to VMs 0, 1 | System Time: 1741169177.4001 | Logical Clock: 150 | Message Clock Sent: 149
SEND to VMs 0, 1 | System Time: 1741169177.6092 | Logical Clock: 151 | Message Clock Sent: 150
INTERNAL | System Time: 1741169177.8120 | Logical Clock: 152 | 
INTERNAL | System Time: 1741169178.0135 | Logical Clock: 153 | 
INTERNAL | System Time: 1741169178.2150 | Logical Clock: 154 | 
SEND to VM 0 | System Time: 1741169178.4214 | Logical Clock: 155 | Message Clock Sent: 154
INTERNAL | System Time: 1741169178.6241 | Logical Clock: 156 | 
INTERNAL | System Time: 1741169178.8249 | Logical Clock: 157 | 
INTERNAL | System Time: 1741169179.0264 | Logical Clock: 158 | 
RECEIVE | System Time: 1741169179.2273 | Logical Clock: 159 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741169179.4292 | Logical Clock: 160 | 
SEND to VM 1 | System Time: 1741169179.6304 | Logical Clock: 161 | Message Clock Sent: 160
INTERNAL | System Time: 1741169179.8328 | Logical Clock: 162 | 
INTERNAL | System Time: 1741169180.0339 | Logical Clock: 163 | 
SEND to VMs 0, 1 | System Time: 1741169180.2350 | Logical Clock: 164 | Message Clock Sent: 163
INTERNAL | System Time: 1741169180.4393 | Logical Clock: 165 | 
INTERNAL | System Time: 1741169180.6408 | Logical Clock: 166 | 
SEND to VMs 0, 1 | System Time: 1741169180.8418 | Logical Clock: 167 | Message Clock Sent: 166
INTERNAL | System Time: 1741169181.0456 | Logical Clock: 168 | 
INTERNAL | System Time: 1741169181.2467 | Logical Clock: 169 | 
INTERNAL | System Time: 1741169181.4479 | Logical Clock: 170 | 
INTERNAL | System Time: 1741169181.6491 | Logical Clock: 171 | 
RECEIVE | System Time: 1741169181.8508 | Logical Clock: 172 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741169182.0519 | Logical Clock: 173 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741169182.2537 | Logical Clock: 174 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169182.4548 | Logical Clock: 175 | 
INTERNAL | System Time: 1741169182.6566 | Logical Clock: 176 | 
INTERNAL | System Time: 1741169182.8609 | Logical Clock: 177 | 
INTERNAL | System Time: 1741169183.0622 | Logical Clock: 178 | 
INTERNAL | System Time: 1741169183.2636 | Logical Clock: 179 | 
SEND to VM 1 | System Time: 1741169183.4652 | Logical Clock: 180 | Message Clock Sent: 179
INTERNAL | System Time: 1741169183.6684 | Logical Clock: 181 | 
INTERNAL | System Time: 1741169183.8696 | Logical Clock: 182 | 
INTERNAL | System Time: 1741169184.0708 | Logical Clock: 183 | 
INTERNAL | System Time: 1741169184.2725 | Logical Clock: 184 | 
