SEND to VMs 1, 2 | System Time: 1741195251.3053 | Logical Clock: 111 | Message Clock Sent: 110
INTERNAL | System Time: 1741195251.4796 | Logical Clock: 112 | 
INTERNAL | System Time: 1741195251.6479 | Logical Clock: 113 | 
INTERNAL | System Time: 1741195251.8187 | Logical Clock: 114 | 
INTERNAL | System Time: 1741195251.9888 | Logical Clock: 115 | 
SEND to VMs 1, 2 | System Time: 1741195252.1614 | Logical Clock: 116 | Message Clock Sent: 115
SEND to VMs 1, 2 | System Time: 1741195252.3329 | Logical Clock: 117 | Message Clock Sent: 116
SEND to VMs 1, 2 | System Time: 1741195252.5069 | Logical Clock: 118 | Message Clock Sent: 117
SEND to VM 1 | System Time: 1741195252.6787 | Logical Clock: 119 | Message Clock Sent: 118
SEND to VM 1 | System Time: 1741195252.8475 | Logical Clock: 120 | Message Clock Sent: 119
INTERNAL | System Time: 1741195253.0186 | Logical Clock: 121 | 
SEND to VMs 1, 2 | System Time: 1741195253.1877 | Logical Clock: 122 | Message Clock Sent: 121
INTERNAL | System Time: 1741195253.3616 | Logical Clock: 123 | 
INTERNAL | System Time: 1741195253.5342 | Logical Clock: 124 | 
RECEIVE | System Time: 1741195253.7035 | Logical Clock: 125 | From VM 2, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741195253.8755 | Logical Clock: 126 | Message Clock Sent: 125
SEND to VM 1 | System Time: 1741195254.0497 | Logical Clock: 127 | Message Clock Sent: 126
SEND to VMs 1, 2 | System Time: 1741195254.2194 | Logical Clock: 128 | Message Clock Sent: 127
SEND to VM 1 | System Time: 1741195254.3905 | Logical Clock: 129 | Message Clock Sent: 128
SEND to VMs 1, 2 | System Time: 1741195254.5633 | Logical Clock: 130 | Message Clock Sent: 129
SEND to VMs 1, 2 | System Time: 1741195254.7385 | Logical Clock: 131 | Message Clock Sent: 130
INTERNAL | System Time: 1741195254.9131 | Logical Clock: 132 | 
SEND to VM 2 | System Time: 1741195255.0834 | Logical Clock: 133 | Message Clock Sent: 132
SEND to VM 2 | System Time: 1741195255.2527 | Logical Clock: 134 | Message Clock Sent: 133
SEND to VM 1 | System Time: 1741195255.4222 | Logical Clock: 135 | Message Clock Sent: 134
SEND to VM 1 | System Time: 1741195255.5936 | Logical Clock: 136 | Message Clock Sent: 135
SEND to VM 1 | System Time: 1741195255.7673 | Logical Clock: 137 | Message Clock Sent: 136
